masked_consumer_id,posted_date,amount,category,masked_transaction_id
C01100827,2022/8/17,0.01,7,C01T0939457
C01100827,2023/1/3,2700,0,C01T0939458
C01100827,2022/6/28,20,1,C01T0939459
C01100827,2022/11/7,3000,0,C01T0939460
C01100827,2022/6/3,3003.32,5,C01T0939461
C01100827,2022/6/17,2870,0,C01T0939462
C01100827,2022/2/17,0.01,7,C01T0939463
C01100827,2022/8/22,99.52,4,C01T0939464
C01100827,2022/12/16,500,0,C01T0939465
C01100827,2022/9/27,1564,11,C01T0939466
C01100827,2022/11/18,2000,0,C01T0939467
C01100827,2022/12/2,2500,0,C01T0939468
C01100827,2022/3/11,4721.6,5,C01T0939469
C01100827,2022/9/23,3000,0,C01T0939470
C01100827,2022/3/23,2936.22,2,C01T0939471
C01100827,2022/10/11,3200,0,C01T0939472
C01100827,2022/11/18,3254.49,5,C01T0939473
C01100827,2022/9/30,1200,1,C01T0939474
C01100827,2022/9/2,1700,1,C01T0939475
C01100827,2022/12/30,3400.13,5,C01T0939476
C01100827,2022/7/20,0.01,7,C01T0939477
C01100827,2022/1/28,2891.85,5,C01T0939478
C01100827,2022/8/12,2866.41,5,C01T0939479
C01100827,2022/5/20,2866,0,C01T0939480
C01100827,2022/12/16,2500,0,C01T0939481
C01100827,2023/1/13,2800,0,C01T0939482
C01100827,2023/1/3,2194,1,C01T0939483
C01100827,2022/7/15,2866.73,5,C01T0939484
C01100827,2022/3/25,2935.21,5,C01T0939485
C01100827,2022/7/25,125,0,C01T0939486
C01100827,2022/7/20,0.01,7,C01T0939487
C01100827,2022/12/16,3034,5,C01T0939488
C01100827,2022/10/20,0.01,7,C01T0939489
C01100827,2022/7/29,3013.42,5,C01T0939490
C01100827,2022/6/17,2866.42,5,C01T0939491
C01100827,2022/4/8,2889,0,C01T0939492
C01100827,2023/1/13,3087.93,5,C01T0939493
C01100827,2022/4/18,1000,0,C01T0939494
C01100827,2022/4/19,0.02,7,C01T0939495
C01100827,2022/8/8,1700,1,C01T0939496
C01100827,2023/1/20,0.03,7,C01T0939497
C01100827,2022/10/21,3100,0,C01T0939498
C01100827,2022/5/24,60.48,4,C01T0939499
C01100827,2022/11/4,3034,5,C01T0939500
C01100827,2022/2/25,2866.42,5,C01T0939501
C01100827,2022/3/11,2866.41,5,C01T0939502
C01100827,2022/10/7,3181,5,C01T0939503
C01100827,2022/9/9,2896,0,C01T0939504
C01100827,2022/9/20,0.01,7,C01T0939505
C01100827,2022/5/6,2935.21,5,C01T0939506
C01100827,2022/7/1,2958.51,5,C01T0939507
C01100827,2023/1/20,0.01,7,C01T0939508
C01100827,2022/9/9,2866.41,5,C01T0939509
C01100827,2022/2/17,0.01,7,C01T0939510
C01100827,2023/1/6,1600,1,C01T0939511
C01100827,2022/7/15,2800,0,C01T0939512
C01100827,2022/6/10,1700,1,C01T0939513
C01100827,2022/2/18,300,1,C01T0939514
C01100827,2022/2/4,1700,1,C01T0939515
C01100827,2022/5/13,2936,0,C01T0939516
C01100827,2022/9/9,400,1,C01T0939517
C01100827,2022/9/26,2579,11,C01T0939518
C01100827,2022/10/28,1600,1,C01T0939519
C01100827,2022/12/2,3034.01,5,C01T0939520
C01100827,2022/2/28,2866.77,0,C01T0939521
C01100827,2022/10/21,3034.01,5,C01T0939522
C01100827,2022/1/28,2899,0,C01T0939523
C01100827,2022/7/29,2964,0,C01T0939524
C01100827,2022/11/9,155,1,C01T0939525
C01100827,2022/12/9,1600,1,C01T0939526
C01100827,2022/8/22,-8.52,1,C01T0939527
C01100827,2022/5/25,-5.95,1,C01T0939528
C01100827,2022/5/20,-3000,26,C01T0939529
C01100827,2022/9/6,-65,1,C01T0939530
C01100827,2022/9/8,-9.21,1,C01T0939531
C01100827,2022/3/17,-100,19,C01T0939532
C01100827,2022/10/31,-50,1,C01T0939533
C01100827,2022/7/29,-6.07,1,C01T0939534
C01100827,2022/4/6,-471.22,26,C01T0939535
C01100827,2022/10/19,-8.43,1,C01T0939536
C01100827,2023/1/13,-2800,0,C01T0939537
C01100827,2022/12/29,-3,1,C01T0939538
C01100827,2022/3/23,-3700,26,C01T0939539
C01100827,2023/1/10,-5.75,1,C01T0939540
C01100827,2022/11/7,-50,1,C01T0939541
C01100827,2022/10/26,-7.25,1,C01T0939542
C01100827,2023/1/3,-5.31,1,C01T0939543
C01100827,2022/11/7,-40,26,C01T0939544
C01100827,2022/3/16,-12.04,14,C01T0939545
C01100827,2022/9/12,-6.74,1,C01T0939546
C01100827,2022/3/17,-2.91,14,C01T0939547
C01100827,2022/3/14,-143.16,13,C01T0939548
C01100827,2023/1/17,-50,1,C01T0939549
C01100827,2022/5/5,-8.51,1,C01T0939550
C01100827,2022/3/24,-50,1,C01T0939551
C01100827,2022/9/29,-3,1,C01T0939552
C01100827,2022/11/28,-3,1,C01T0939553
C01100827,2022/3/23,-1818.11,1,C01T0939554
C01100827,2022/9/1,-5.57,1,C01T0939555
C01100827,2022/4/7,-9.99,20,C01T0939556
C01100827,2022/3/11,-6500,0,C01T0939557
C01100827,2023/1/10,-325,1,C01T0939558
C01100827,2022/3/7,-40,26,C01T0939559
C01100827,2022/2/28,-2866.77,0,C01T0939560
C01100827,2022/2/7,-9.99,20,C01T0939561
C01100827,2022/6/8,-7.64,1,C01T0939562
C01100827,2022/7/6,-471.22,26,C01T0939563
C01100827,2022/12/28,-8.1,1,C01T0939564
C01100827,2022/3/7,-5.27,1,C01T0939565
C01100827,2022/8/8,-9.99,20,C01T0939566
C01100827,2022/6/13,-3903.9,12,C01T0939567
C01100827,2022/12/12,-5.21,1,C01T0939568
C01100827,2023/1/6,-6.87,1,C01T0939569
C01100827,2022/12/16,-2500,0,C01T0939570
C01100827,2022/5/31,-3,1,C01T0939571
C01100827,2022/8/15,-3903.9,12,C01T0939572
C01100827,2022/3/30,-10.25,1,C01T0939573
C01100827,2022/11/18,-2000,0,C01T0939574
C01100827,2022/10/5,-6.16,1,C01T0939575
C01100827,2022/7/6,-9.99,20,C01T0939576
C01100827,2023/1/23,-5.16,1,C01T0939577
C01100827,2023/1/17,-200,0,C01T0939578
C01100827,2022/2/7,-471.22,26,C01T0939579
C01100827,2023/1/20,-5.27,1,C01T0939580
C01100827,2022/12/19,-5.73,1,C01T0939581
C01100827,2022/3/25,-3000,0,C01T0939582
C01100827,2022/6/15,-7.12,1,C01T0939583
C01100827,2022/12/7,-9.03,1,C01T0939584
C01100827,2022/7/13,-7.36,1,C01T0939585
C01100827,2022/7/25,-300,1,C01T0939586
C01100827,2022/2/24,-50,1,C01T0939587
C01100827,2022/10/11,-100,1,C01T0939588
C01100827,2022/7/15,-5600,26,C01T0939589
C01100827,2022/10/11,-1024,1,C01T0939590
C01100827,2022/3/21,-125,1,C01T0939591
C01100827,2022/12/1,-9.17,1,C01T0939592
C01100827,2022/2/15,-5,1,C01T0939593
C01100827,2022/1/31,-3,1,C01T0939594
C01100827,2022/10/17,-5.31,14,C01T0939595
C01100827,2022/5/20,-2866,0,C01T0939596
C01100827,2022/8/30,-103.76,22,C01T0939597
C01100827,2022/9/14,-6.22,1,C01T0939598
C01100827,2022/11/18,-5.7,1,C01T0939599
C01100827,2022/6/1,-5.23,1,C01T0939600
C01100827,2022/4/7,-6.96,1,C01T0939601
C01100827,2022/10/12,-8.07,1,C01T0939602
C01100827,2022/3/22,-6.96,1,C01T0939603
C01100827,2022/3/15,-75.58,17,C01T0939604
C01100827,2022/5/2,-50,1,C01T0939605
C01100827,2022/6/17,-2500,26,C01T0939606
C01100827,2022/3/2,-6,1,C01T0939607
C01100827,2022/12/22,-5.07,1,C01T0939608
C01100827,2022/5/9,-5,1,C01T0939609
C01100827,2022/7/27,-9.54,1,C01T0939610
C01100827,2022/3/25,-2500,26,C01T0939611
C01100827,2022/2/22,-5,21,C01T0939612
C01100827,2022/10/11,-3000,26,C01T0939613
C01100827,2022/3/7,-9.99,20,C01T0939614
C01100827,2022/2/15,-300,1,C01T0939615
C01100827,2022/3/14,-3903.9,12,C01T0939616
C01100827,2022/12/13,-125.83,13,C01T0939617
C01100827,2022/4/13,-143.16,13,C01T0939618
C01100827,2022/8/12,-2866,0,C01T0939619
C01100827,2022/11/14,-151.74,13,C01T0939620
C01100827,2022/8/11,-6.82,1,C01T0939621
C01100827,2022/3/7,-471.22,26,C01T0939622
C01100827,2022/6/16,-25.57,22,C01T0939623
C01100827,2022/9/9,-2896,0,C01T0939624
C01100827,2022/5/9,-5,1,C01T0939625
C01100827,2023/1/3,-2700,0,C01T0939626
C01100827,2022/9/6,-9.99,20,C01T0939627
C01100827,2022/5/6,-9.99,20,C01T0939628
C01100827,2022/12/12,-44.25,19,C01T0939629
C01100827,2022/2/28,-5.41,1,C01T0939630
C01100827,2022/7/29,-2964,0,C01T0939631
C01100827,2022/10/17,-7.79,1,C01T0939632
C01100827,2022/5/6,-471.22,26,C01T0939633
C01100827,2022/9/20,-6.46,1,C01T0939634
C01100827,2022/8/8,-471.22,26,C01T0939635
C01100827,2022/2/18,-150,1,C01T0939636
C01100827,2022/6/29,-50,1,C01T0939637
C01100827,2022/4/29,-3,1,C01T0939638
C01100827,2022/9/27,-6.59,1,C01T0939639
C01100827,2022/2/28,-2100,26,C01T0939640
C01100827,2022/6/17,-2870,0,C01T0939641
C01100827,2022/11/7,-471.22,26,C01T0939642
C01100827,2022/1/28,-2800,26,C01T0939643
C01100827,2022/12/6,-471.22,26,C01T0939644
C01100827,2022/6/6,-50,1,C01T0939645
C01100827,2022/5/16,-3903.9,12,C01T0939646
C01100827,2022/10/14,-105,19,C01T0939647
C01100827,2022/6/27,-5.39,1,C01T0939648
C01100827,2022/2/15,-5,1,C01T0939649
C01100827,2022/11/7,-5.85,1,C01T0939650
C01100827,2022/4/4,-6.9,1,C01T0939651
C01100827,2022/9/2,-3000,26,C01T0939652
C01100827,2022/2/18,-5.72,1,C01T0939653
C01100827,2022/8/17,-9.48,1,C01T0939654
C01100827,2022/2/14,-50,1,C01T0939655
C01100827,2022/8/29,-5.57,1,C01T0939656
C01100827,2022/2/25,-5.88,1,C01T0939657
C01100827,2022/6/3,-3000,0,C01T0939658
C01100827,2023/1/17,-100,1,C01T0939659
C01100827,2022/6/7,-120.59,22,C01T0939660
C01100827,2022/12/2,-2500,0,C01T0939661
C01100827,2022/12/14,-6.62,1,C01T0939662
C01100827,2023/1/6,-100,1,C01T0939663
C01100827,2022/2/7,-40,26,C01T0939664
C01100827,2022/2/11,-2867,0,C01T0939665
C01100827,2022/7/29,-2400,26,C01T0939666
C01100827,2023/1/6,-471.22,26,C01T0939667
C01100827,2022/7/25,-125,0,C01T0939668
C01100827,2022/2/22,-5,21,C01T0939669
C01100827,2022/2/28,-3,1,C01T0939670
C01100827,2022/11/21,-113.2,19,C01T0939671
C01100827,2022/2/14,-3903.9,12,C01T0939672
C01100827,2022/5/18,-5.79,1,C01T0939673
C01100827,2022/4/22,-2866,0,C01T0939674
C01100827,2022/11/22,-7.6,1,C01T0939675
C01100827,2022/2/14,-6.51,1,C01T0939676
C01100827,2022/12/19,-5,1,C01T0939677
C01100827,2022/9/6,-471.22,26,C01T0939678
C01100827,2023/1/9,-40,26,C01T0939679
C01100827,2022/3/14,-8.98,14,C01T0939680
C01100827,2022/12/1,-1800,26,C01T0939681
C01100827,2022/12/12,-50,1,C01T0939682
C01100827,2022/7/15,-2800,0,C01T0939683
C01100827,2022/10/7,-40,26,C01T0939684
C01100827,2022/7/7,-40,26,C01T0939685
C01100827,2022/6/6,-471.22,26,C01T0939686
C01100827,2022/5/9,-5.37,1,C01T0939687
C01100827,2022/10/3,-6.23,1,C01T0939688
C01100827,2022/2/4,-300,26,C01T0939689
C01100827,2022/7/11,-3903.9,12,C01T0939690
C01100827,2022/6/29,-3,1,C01T0939691
C01100827,2022/11/25,-115.9,19,C01T0939692
C01100827,2022/6/29,-7.74,1,C01T0939693
C01100827,2022/3/21,-20.46,16,C01T0939694
C01100827,2022/10/6,-9.99,20,C01T0939695
C01100827,2022/9/2,-3000,0,C01T0939696
C01100827,2022/7/13,-122.16,13,C01T0939697
C01100827,2022/10/21,-3100,0,C01T0939698
C01100827,2022/8/30,-74.84,22,C01T0939699
C01100827,2023/1/3,-5.89,1,C01T0939700
C01100827,2022/6/1,-560,1,C01T0939701
C01100827,2022/2/23,-139.95,22,C01T0939702
C01100827,2022/6/6,-9.99,20,C01T0939703
C01100827,2022/5/9,-40,26,C01T0939704
C01100827,2022/11/8,-8.87,1,C01T0939705
C01100827,2022/10/6,-471.22,26,C01T0939706
C01100827,2022/10/21,-3100,26,C01T0939707
C01100827,2022/9/13,-122.16,13,C01T0939708
C01100827,2022/5/13,-171.41,13,C01T0939709
C01100827,2022/5/13,-2936,0,C01T0939710
C01100827,2022/4/19,-5.08,1,C01T0939711
C01100827,2022/4/11,-123.63,22,C01T0939712
C01100827,2023/1/13,-125.83,13,C01T0939713
C01100827,2023/1/17,-5.37,1,C01T0939714
C01100827,2022/4/18,-1700,26,C01T0939715
C01100827,2022/3/18,-18.2,18,C01T0939716
C01100827,2022/3/28,-3,1,C01T0939717
C01100827,2022/9/23,-3000,26,C01T0939718
C01100827,2022/11/28,-6.05,1,C01T0939719
C01100827,2022/6/22,-6.93,1,C01T0939720
C01100827,2022/9/6,-8.56,1,C01T0939721
C01100827,2022/9/28,-50,1,C01T0939722
C01100827,2022/9/23,-3000,0,C01T0939723
C01100827,2022/9/7,-40,26,C01T0939724
C01100827,2022/3/15,-6.33,1,C01T0939725
C01100827,2022/2/15,-5,1,C01T0939726
C01100827,2022/4/18,-3903.9,12,C01T0939727
C01100827,2022/12/16,-500,0,C01T0939728
C01100827,2022/5/2,-100,1,C01T0939729
C01100827,2022/6/13,-122.16,13,C01T0939730
C01100827,2022/4/26,-8.79,1,C01T0939731
C01100827,2022/5/23,-5.53,1,C01T0939732
C01100827,2022/11/21,-3.28,23,C01T0939733
C01100827,2023/1/17,-3756.96,12,C01T0939734
C01100827,2022/9/12,-3903.9,12,C01T0939735
C01100827,2022/3/28,-7.54,1,C01T0939736
C01100827,2023/1/6,-4.97,20,C01T0939737
C01100827,2022/4/18,-1000,0,C01T0939738
C01100827,2022/6/2,-5.46,1,C01T0939739
C01100827,2023/1/3,-5000,26,C01T0939740
C01100827,2022/8/2,-5,1,C01T0939741
C01100827,2022/7/5,-7.11,1,C01T0939742
C01100827,2022/2/8,-20,1,C01T0939743
C01100827,2022/8/1,-150,1,C01T0939744
C01100827,2022/8/29,-3,1,C01T0939745
C01100827,2022/11/2,-11.2,1,C01T0939746
C01100827,2022/4/22,-2800,26,C01T0939747
C01100827,2022/5/12,-5.53,1,C01T0939748
C01100827,2022/6/7,-40,26,C01T0939749
C01100827,2022/3/10,-5.44,1,C01T0939750
C01100827,2022/10/11,-3200,0,C01T0939751
C01100827,2022/3/18,-12.89,14,C01T0939752
C01100827,2022/12/14,-3756.96,12,C01T0939753
C01100827,2022/10/31,-3,1,C01T0939754
C01100827,2022/8/25,-150,1,C01T0939755
C01100827,2022/4/1,-6.51,1,C01T0939756
C01100827,2022/11/7,-3000,0,C01T0939757
C01100827,2022/2/23,-7.8,1,C01T0939758
C01100827,2022/7/20,-7.19,1,C01T0939759
C01100827,2022/7/8,-2950,0,C01T0939760
C01100827,2022/8/25,-10.02,1,C01T0939761
C01100827,2022/10/11,-3903.9,12,C01T0939762
C01100827,2022/8/4,-6.05,1,C01T0939763
C01100827,2022/11/8,-3756.96,12,C01T0939764
C01100827,2022/12/7,-40,26,C01T0939765
C01100827,2022/4/7,-40,26,C01T0939766
C01100827,2022/9/22,-7.59,1,C01T0939767
C01100827,2022/10/13,-122.13,13,C01T0939768
C01100827,2022/11/21,-109.21,19,C01T0939769
C01100827,2022/2/14,-143.16,13,C01T0939770
C01100827,2022/8/15,-122.16,13,C01T0939771
C01100827,2022/12/19,-1028.31,22,C01T0939772
C01100827,2022/7/29,-3,1,C01T0939773
C01100827,2022/4/13,-5.99,1,C01T0939774
C01100827,2022/11/14,-7.04,1,C01T0939775
C01100827,2022/9/28,-2071.5,1,C01T0939776
C01100827,2022/4/8,-2889,0,C01T0939777
C01100827,2022/7/11,-5.45,1,C01T0939778
C01100827,2022/1/28,-2899,0,C01T0939779
C01100827,2022/4/25,-6.84,1,C01T0939780
C01100827,2022/12/16,-2100,26,C01T0939781
C01100827,2022/8/8,-40,26,C01T0939782
C01100827,2022/10/24,-7.39,1,C01T0939783
C01100827,2022/9/28,-6.06,1,C01T0939784
C01101332,2021/10/8,750,0,C01T01525431
C01101332,2022/1/11,750,0,C01T01525432
C01101332,2021/5/3,5000,0,C01T01525433
C01101332,2021/10/1,794,8,C01T01525434
C01101332,2021/9/15,20000,0,C01T01525435
C01101332,2021/9/10,750,0,C01T01525436
C01101332,2022/1/19,2.98,7,C01T01525437
C01101332,2021/5/18,6.15,7,C01T01525438
C01101332,2021/4/9,750,0,C01T01525439
C01101332,2021/9/17,245,4,C01T01525440
C01101332,2021/12/15,8756.62,4,C01T01525441
C01101332,2021/11/5,2500,0,C01T01525442
C01101332,2021/12/1,794,8,C01T01525443
C01101332,2021/12/6,2500,0,C01T01525444
C01101332,2022/1/21,162898.5,1,C01T01525445
C01101332,2021/6/2,0.17,0,C01T01525446
C01101332,2021/9/15,8035.39,4,C01T01525447
C01101332,2021/3/19,6.02,7,C01T01525448
C01101332,2021/7/22,500,2,C01T01525449
C01101332,2021/11/29,300,2,C01T01525450
C01101332,2021/8/19,5000,0,C01T01525451
C01101332,2021/11/17,0.34,7,C01T01525452
C01101332,2022/2/1,125,2,C01T01525453
C01101332,2021/8/11,750,0,C01T01525454
C01101332,2021/3/30,600,2,C01T01525455
C01101332,2022/1/6,2500,0,C01T01525456
C01101332,2021/6/30,600,2,C01T01525457
C01101332,2021/9/28,3.5,6,C01T01525458
C01101332,2021/12/29,124,1,C01T01525459
C01101332,2021/7/30,8035.4,4,C01T01525460
C01101332,2021/6/30,420,2,C01T01525461
C01101332,2022/2/1,600,2,C01T01525462
C01101332,2021/4/19,600,2,C01T01525463
C01101332,2021/10/15,5287.03,3,C01T01525464
C01101332,2021/4/22,5000,0,C01T01525465
C01101332,2021/4/26,8000,0,C01T01525466
C01101332,2021/7/9,750,0,C01T01525467
C01101332,2021/6/30,8018.62,4,C01T01525468
C01101332,2021/10/12,1082,1,C01T01525469
C01101332,2021/4/1,794,8,C01T01525470
C01101332,2021/7/19,3000,0,C01T01525471
C01101332,2021/4/30,8117.56,4,C01T01525472
C01101332,2021/6/21,2.95,6,C01T01525473
C01101332,2022/2/4,2500,0,C01T01525474
C01101332,2022/1/19,9000,0,C01T01525475
C01101332,2021/9/3,2500,0,C01T01525476
C01101332,2021/8/31,650,2,C01T01525477
C01101332,2021/9/10,2,6,C01T01525478
C01101332,2021/12/21,0.51,7,C01T01525479
C01101332,2021/12/30,841,8,C01T01525480
C01101332,2021/12/10,750,0,C01T01525481
C01101332,2021/11/8,85,2,C01T01525482
C01101332,2022/1/3,325,2,C01T01525483
C01101332,2021/3/30,300,2,C01T01525484
C01101332,2022/2/1,6763.03,3,C01T01525485
C01101332,2021/7/26,3.5,6,C01T01525486
C01101332,2021/5/28,8018.62,4,C01T01525487
C01101332,2021/6/15,8018.62,4,C01T01525488
C01101332,2021/8/3,3000,0,C01T01525489
C01101332,2022/1/18,120,1,C01T01525490
C01101332,2021/12/23,2000,2,C01T01525491
C01101332,2021/7/6,117.76,2,C01T01525492
C01101332,2021/3/11,750,0,C01T01525493
C01101332,2021/5/18,0.18,7,C01T01525494
C01101332,2021/12/24,0.1,0,C01T01525495
C01101332,2022/1/3,600,2,C01T01525496
C01101332,2021/9/1,794,8,C01T01525497
C01101332,2021/10/29,8169.53,4,C01T01525498
C01101332,2021/9/28,600,2,C01T01525499
C01101332,2021/4/16,4021.96,3,C01T01525500
C01101332,2021/11/30,8756.63,4,C01T01525501
C01101332,2021/8/20,0.29,0,C01T01525502
C01101332,2021/6/18,6.81,7,C01T01525503
C01101332,2021/4/15,8117.55,4,C01T01525504
C01101332,2021/3/1,60000,0,C01T01525505
C01101332,2021/8/31,8035.4,4,C01T01525506
C01101332,2021/3/1,1318.43,3,C01T01525507
C01101332,2021/2/11,750,0,C01T01525508
C01101332,2021/6/1,600,2,C01T01525509
C01101332,2021/7/15,8035.39,4,C01T01525510
C01101332,2021/8/13,2.5,6,C01T01525511
C01101332,2021/6/18,0.17,7,C01T01525512
C01101332,2021/11/10,750,0,C01T01525513
C01101332,2021/6/1,265,2,C01T01525514
C01101332,2021/3/1,794,8,C01T01525515
C01101332,2021/3/8,0.46,0,C01T01525516
C01101332,2021/10/15,8035.39,4,C01T01525517
C01101332,2021/2/26,7632.88,4,C01T01525518
C01101332,2021/12/30,8756.62,4,C01T01525519
C01101332,2022/1/14,5783.93,4,C01T01525520
C01101332,2021/9/20,7.2,7,C01T01525521
C01101332,2021/8/31,600,2,C01T01525522
C01101332,2021/5/25,2000,0,C01T01525523
C01101332,2021/3/16,3.5,6,C01T01525524
C01101332,2021/4/6,1,4,C01T01525525
C01101332,2021/7/20,370,1,C01T01525526
C01101332,2021/2/12,72378.63,4,C01T01525527
C01101332,2021/8/19,0.2,0,C01T01525528
C01101332,2022/2/1,841,8,C01T01525529
C01101332,2021/5/10,3000,0,C01T01525530
C01101332,2021/7/30,794,8,C01T01525531
C01101332,2022/1/18,3960.12,3,C01T01525532
C01101332,2021/4/19,1000,2,C01T01525533
C01101332,2021/6/1,794,8,C01T01525534
C01101332,2021/11/15,8756.62,4,C01T01525535
C01101332,2021/5/11,750,0,C01T01525536
C01101332,2021/12/30,0.01,3,C01T01525537
C01101332,2021/9/20,0.14,7,C01T01525538
C01101332,2021/9/14,0.94,0,C01T01525539
C01101332,2021/4/20,0.31,7,C01T01525540
C01101332,2021/4/20,6.78,7,C01T01525541
C01101332,2021/9/30,8035.4,4,C01T01525542
C01101332,2021/7/20,0.31,7,C01T01525543
C01101332,2021/2/16,0.47,7,C01T01525544
C01101332,2022/1/21,90000,0,C01T01525545
C01101332,2021/10/19,0.4,7,C01T01525546
C01101332,2021/4/6,100,2,C01T01525547
C01101332,2021/12/21,3.43,7,C01T01525548
C01101332,2021/7/20,7.03,7,C01T01525549
C01101332,2021/4/30,794,8,C01T01525550
C01101332,2021/10/25,20000,0,C01T01525551
C01101332,2021/4/26,8000,7,C01T01525552
C01101332,2021/10/6,2500,0,C01T01525553
C01101332,2021/7/1,794,8,C01T01525554
C01101332,2021/8/16,5266.47,3,C01T01525555
C01101332,2021/5/14,8108.18,4,C01T01525556
C01101332,2021/3/19,0.83,7,C01T01525557
C01101332,2022/1/19,0.39,7,C01T01525558
C01101332,2021/3/31,8117.55,4,C01T01525559
C01101332,2021/6/16,5763.03,3,C01T01525560
C01101332,2021/9/21,0.15,0,C01T01525561
C01101332,2021/5/28,0.81,0,C01T01525562
C01101332,2021/2/16,4.91,7,C01T01525563
C01101332,2021/3/17,10000,0,C01T01525564
C01101332,2021/8/19,0.2,7,C01T01525565
C01101332,2022/1/18,15,1,C01T01525566
C01101332,2021/10/4,200000,0,C01T01525567
C01101332,2022/2/1,50000,0,C01T01525568
C01101332,2022/2/4,50000,0,C01T01525569
C01101332,2021/8/2,2.5,6,C01T01525570
C01101332,2021/11/1,600,2,C01T01525571
C01101332,2021/10/19,4.57,7,C01T01525572
C01101332,2021/6/11,750,0,C01T01525573
C01101332,2021/3/2,2.25,0,C01T01525574
C01101332,2021/3/1,600,2,C01T01525575
C01101332,2021/11/1,794,8,C01T01525576
C01101332,2021/11/29,600,2,C01T01525577
C01101332,2021/8/13,8035.39,4,C01T01525578
C01101332,2021/12/1,3990.43,3,C01T01525579
C01101332,2021/4/7,1400,11,C01T01525580
C01101332,2021/8/2,600,2,C01T01525581
C01101332,2021/11/17,2.93,7,C01T01525582
C01101332,2021/2/16,3380.96,3,C01T01525583
C01101332,2021/8/19,6.9,7,C01T01525584
C01101332,2021/3/15,8117.56,4,C01T01525585
C01101332,2021/8/2,500,2,C01T01525586
C01101332,2022/1/19,-155.91,22,C01T01525587
C01101332,2021/6/21,-202.95,19,C01T01525588
C01101332,2021/9/16,-379.17,22,C01T01525589
C01101332,2021/5/12,-1000,19,C01T01525590
C01101332,2021/8/31,-100,1,C01T01525591
C01101332,2021/9/7,-832.36,26,C01T01525592
C01101332,2021/9/2,-50,12,C01T01525593
C01101332,2021/6/17,-500,12,C01T01525594
C01101332,2021/2/19,-139.67,22,C01T01525595
C01101332,2021/8/31,-600,19,C01T01525596
C01101332,2021/9/3,-300,19,C01T01525597
C01101332,2021/10/18,-3234.09,32,C01T01525598
C01101332,2022/1/18,-15,1,C01T01525599
C01101332,2021/12/28,-2000,17,C01T01525600
C01101332,2021/8/18,-0.2,1,C01T01525601
C01101332,2021/3/1,-60000,1,C01T01525602
C01101332,2021/4/19,-600,19,C01T01525603
C01101332,2022/1/25,-34300,15,C01T01525604
C01101332,2021/3/18,-128,22,C01T01525605
C01101332,2021/6/21,-50,1,C01T01525606
C01101332,2021/7/20,-2400,26,C01T01525607
C01101332,2021/11/10,-2000,22,C01T01525608
C01101332,2021/9/2,0,23,C01T01525609
C01101332,2021/12/6,-128,22,C01T01525610
C01101332,2021/8/30,-424.6,13,C01T01525611
C01101332,2022/1/19,-485.7,26,C01T01525612
C01101332,2021/6/16,-50,12,C01T01525613
C01101332,2022/1/3,-325,19,C01T01525614
C01101332,2021/7/9,-750,1,C01T01525615
C01101332,2021/2/19,-50,1,C01T01525616
C01101332,2021/6/1,-265,19,C01T01525617
C01101332,2021/11/9,-250,1,C01T01525618
C01101332,2021/7/9,-250,1,C01T01525619
C01101332,2021/5/26,-104.79,22,C01T01525620
